score,go-algorand struct,go-algorand-sdk struct,go-algorand location,go-algorand-sdk location
1.00,TealKeyValue,TealKeyValue,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/teal_key_value.go
1.00,TealKeyValue,TealKeyValue,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/teal_key_value.go
1.00,TealValue,TealValue,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/statedelta.go
1.00,TealValue,TealValue,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/teal_value.go
1.00,TealValue,TealValue,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/teal_value.go
1.00,TealValue,TealValue,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/common/models/teal_value.go
1.00,TealValue,TealValue,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/types/statedelta.go
1.00,TealValue,TealValue,go-algorand/data/basics/teal.go,go-algorand-sdk/client/v2/common/models/teal_value.go
1.00,TealValue,TealValue,go-algorand/data/basics/teal.go,go-algorand-sdk/types/statedelta.go
1.00,TealValue,TealValue,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/types/statedelta.go
1.00,Transaction,Transaction,go-algorand/node/indexer/db.go,go-algorand-sdk/types/transaction.go
1.00,Transaction,Transaction,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/transaction.go
1.00,Transaction,Transaction,go-algorand/node/indexer/db.go,go-algorand-sdk/client/v2/common/models/transaction.go
1.00,Transaction,Transaction,go-algorand/data/transactions/transaction.go,go-algorand-sdk/types/transaction.go
1.00,Transaction,Transaction,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/common/models/transaction.go
1.00,Transaction,Transaction,go-algorand/data/transactions/transaction.go,go-algorand-sdk/client/v2/common/models/transaction.go
1.00,TransactionParametersResponse,TransactionParametersResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/transaction_parameters_response.go
1.00,TransactionParametersResponse,TransactionParametersResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/transaction_parameters_response.go
1.00,TransactionProofResponse,TransactionProofResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/transaction_proof_response.go
1.00,TransactionProofResponse,TransactionProofResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/transaction_proof_response.go
1.00,TransactionResponse,TransactionResponse,go-algorand/daemon/algod/api/server/v1/handlers/responses.go,go-algorand-sdk/client/v2/common/models/transaction_response.go
1.00,TransactionsResponse,TransactionsResponse,go-algorand/daemon/algod/api/server/v1/handlers/responses.go,go-algorand-sdk/client/v2/common/models/transactions_response.go
